,idmb_id,plot,SentimentScore Military,OverallSentiment Military,SentimentScore Army,OverallSentiment Army,SentimentScore AirForce,OverallSentiment AirForce,SentimentScore Navy,OverallSentiment Navy,SentimentScore War,OverallSentiment War,SentimentScore Marine,OverallSentiment Marine
0,tt0133231,a baby in a foreign land is adopted by the men on a u.s. navy ship and brought to america.,"[0.8247396, 0.13339587, 0.04186457]",0,"[0.7430444, 0.24107182, 0.015883826]",0,"[0.7798408, 0.18095426, 0.03920492]",0,"[0.6571965, 0.040527545, 0.30227596]",0,"[0.98606724, 0.0058916346, 0.008041187]",0,"[0.9303554, 0.021828009, 0.047816604]",0
1,tt0502209,jack and tony clash as they wait for the time of hostage exchange with saunders. senator keeler confronts president palmer about the milliken cover up while wayne initiates a secret operation against sherry.,"[0.7479575, 0.24099207, 0.011050422]",0,"[0.6256231, 0.36075652, 0.013620362]",0,"[0.80217564, 0.17280221, 0.025022171]",0,"[0.6772173, 0.30567646, 0.017106257]",0,"[0.9815597, 0.012521648, 0.0059186816]",0,"[0.86357564, 0.12261746, 0.013806902]",0
2,tt0098469,scott weston is a private investigator who is supposedly hired by a rich businessman to determine whether or not his beautiful wife is fooling around behind his back. during the course of his investigation weston begins his own steamy affair with the wife. the husband then turns up dead and weston becomes a prime suspect. did he do it? has he been set up? or is he the victim of a third degree burn?,"[0.55728775, 0.43449834, 0.0082138935]",0,"[0.39967117, 0.5924298, 0.007899052]",1,"[0.73411053, 0.258969, 0.00692043]",0,"[0.3303997, 0.65468377, 0.014916555]",1,"[0.76878303, 0.22436151, 0.00685547]",0,"[0.7803574, 0.21181677, 0.007825842]",0
3,tt1306980,"adam is a 27 year old writer of radio programs and is diagnosed with a rare form of spinal cancer. with the help of his best friend, his mother, and a young therapist at the cancer center, adam learns what and who the most important things in his life are.","[0.39714688, 0.57559335, 0.027259756]",1,"[0.21364443, 0.7602861, 0.026069522]",1,"[0.50071293, 0.44963667, 0.04965041]",0,"[0.22167109, 0.70370924, 0.074619636]",1,"[0.4547838, 0.4803691, 0.06484714]",1,"[0.63902485, 0.32487765, 0.036097527]",0
4,tt0056800,"diplomats, soldiers and other representatives of a dozen nations fend off the siege of the international compound in peking during the 1900 boxer rebellion. the disparate interests unite for survival despite competing factions, overwhelming odds, delayed relief and tacit support of the boxers by the empress of china and her generals.","[0.64569944, 0.048342817, 0.30595773]",0,"[0.7599341, 0.0836921, 0.15637372]",0,"[0.2669839, 0.35400975, 0.3790063]",2,"[0.27620423, 0.38636547, 0.33743036]",1,"[0.4458001, 0.015462775, 0.5387371]",2,"[0.23878594, 0.5417204, 0.21949366]",1
5,tt0096744,impressive performance by unknown actors in this low budget vietnam drama. the story is being told in the form of a documentary; a camera team follows an army unit in pursuit of 'charlie'. filmed in southern california. the movie's producing company itself is called '84 charlie mopic'.,"[0.92913646, 0.052568037, 0.018295502]",0,"[0.9652897, 0.02083363, 0.013876674]",0,"[0.73864794, 0.20426327, 0.057088803]",0,"[0.49461553, 0.4732964, 0.032088052]",0,"[0.9138615, 0.07124972, 0.014888751]",0,"[0.8249237, 0.14410473, 0.030971466]",0
6,tt0104257,"in this dramatic courtroom thriller, lt daniel kaffee, a navy lawyer who has never seen the inside of the courtroom, defends two stubborn marines who have been accused of murdering a colleague. kaffee is known as being lazy and had arranged for a plea bargain. downey's aunt ginny appoints cmdr. galloway to represent him. also on the legal staff is ltjg sam weinberg. the team rounds up many facts and kaffee is discovering that he is really cut out for trial work. the defense is originally based upon the fact that pfc santiago, the victim, was given a code red. santiago was basically a screw up. at gitmo, screw ups aren't tolerated. especially by col. nathan jessup. in cuba, jessup and two senior officers try to give all the help they can, but kaffee knows something's fishy. in the conclusion of the film, the fireworks are set off by a confrontation between jessup and kaffee.","[0.734144, 0.25860754, 0.007248498]",0,"[0.6661048, 0.32685098, 0.0070441957]",0,"[0.7408199, 0.24639323, 0.012786931]",0,"[0.5786424, 0.356725, 0.06463252]",0,"[0.8755038, 0.11832528, 0.0061709806]",0,"[0.8369631, 0.15362786, 0.009409026]",0
7,tt0102443,"set in 1944 france, in the ardennes forest region, an american intelligence squad locates a german platoon wishing to surrender rather than die in germany's final war offensive. the two groups of men, isolated from the war at present, put aside their differences and share a christmas celebration. the surrender plan includes a mock battle that turns bad when one of the soldiers is unaware of the surrender plan.","[0.18159723, 0.79761887, 0.020783907]",1,"[0.20203477, 0.7807133, 0.017251832]",1,"[0.3244648, 0.62515044, 0.050384797]",1,"[0.25882974, 0.6998143, 0.04135595]",1,"[0.93212515, 0.036982786, 0.030892055]",0,"[0.3278321, 0.64639354, 0.025774393]",1
8,tt0044324,"the story of colonel paul tibbets, the pilot of the enola gay, the bomber that dropped the atomic bomb on hiroshima. although unaware of the full potential of this new weapon, he knows that it is capable of doing tremendously more damage than any other weapon used before, and that the death toll resulting from it will be enormous. he is reluctant to be the person who will end so many lives, but if using it may bring an end to the war, then not doing so may result in even more lives being lost in continued ground assaults as the fighting goes on. at the same time, the intense secrecy surrounding this mission leaves him with no one he can express his thoughts and doubts to, not even his wife. as time goes on, the pressure upon him only increase.","[0.061779473, 0.9138189, 0.024401693]",1,"[0.08103872, 0.898146, 0.020815304]",1,"[0.07666047, 0.8470231, 0.07631642]",1,"[0.08186068, 0.87624604, 0.041893292]",1,"[0.9080099, 0.04663702, 0.045353107]",0,"[0.059004575, 0.919112, 0.021883447]",1
9,tt0023737,"a sculptor who doesn't want to have any part of world war i is shamed by his girlfriend into joining the army. he becomes a fighter pilot, and undergoes a complete personality change.","[0.8240601, 0.07924757, 0.096692294]",0,"[0.5820024, 0.024607342, 0.39339027]",0,"[0.43520844, 0.4810151, 0.08377646]",1,"[0.7193075, 0.22491592, 0.055776577]",0,"[0.8610805, 0.05365559, 0.08526383]",0,"[0.50330764, 0.46412715, 0.03256521]",0
10,tt0035608,lieutenant joe rossi is 1st officer on a liberty ship in a great convoy bound from halifax to murmansk. after german subs crushed the convoy his ship loses the convoy and is heading alone to murmansk. in spite of attacks by german planes and subs he get the ship safely to murmansk...,"[0.3876933, 0.5044715, 0.10783526]",1,"[0.524728, 0.39887807, 0.07639397]",0,"[0.58813435, 0.20483162, 0.20703407]",0,"[0.29341504, 0.25084776, 0.4557372]",2,"[0.82461673, 0.044560727, 0.13082258]",0,"[0.65339214, 0.18748146, 0.1591264]",0
11,tt0283856,"travel with the pint sized supersleuths, mary kate and ashley olsen full house, and their sidekick dog, clue, to the edge of the world, where a fleet of ufos have been flying over earth every 93 minutes.","[0.24737959, 0.73584986, 0.016770564]",1,"[0.14858001, 0.8386556, 0.012764411]",1,"[0.24672054, 0.6582244, 0.09505503]",1,"[0.14072774, 0.836222, 0.02305026]",1,"[0.8413155, 0.11858339, 0.040101085]",0,"[0.28419894, 0.6905691, 0.025232006]",1
12,tt0035614,old rivals are pitted against each other in basic training and fight for the same woman.,"[0.6469455, 0.34339738, 0.009657162]",0,"[0.35192573, 0.6322712, 0.015803115]",1,"[0.43565336, 0.53162307, 0.032723583]",1,"[0.36609864, 0.6138313, 0.02007016]",1,"[0.9524602, 0.017091863, 0.030447945]",0,"[0.78833264, 0.19036622, 0.021301186]",0
